Donor Type,Donor Age,Donor State of Residence,All Donors - All Genders,All Donors - Male,All Donors - Female,All Donors - Unknown,Kidney - All Genders,Kidney - Male,Kidney - Female,Kidney - Unknown,Liver - All Genders,Liver - Male,Liver - Female,Liver - Unknown,Heart - All Genders,Heart - Male,Heart - Female,Heart - Unknown,Pancreas - All Genders,Pancreas - Male,Pancreas - Female,Pancreas - Unknown,Lung - All Genders,Lung - Male,Lung - Female,Lung - Unknown,Intestine - All Genders,Intestine - Male,Intestine - Female,Intestine - Unknown
,,Oklahoma,71,46,25,0,68,44,24,0,55,35,20,0,29,18,11,0,5,2,3,0,4,1,3,0,6,4,2,0
,,Oregon,42,29,13,0,41,29,12,0,36,25,11,0,15,10,5,0,5,5,0,0,2,1,1,0,2,2,0,0
,,Pennsylvania,206,122,84,0,203,120,83,0,170,100,70,0,79,47,32,0,64,43,21,0,27,19,8,0,13,6,7,0
,,Puerto Rico,25,17,8,0,23,16,7,0,21,14,7,0,6,4,2,0,5,3,2,0,0,0,0,0,3,2,1,0
,,Rhode Island,12,8,4,0,11,7,4,0,9,6,3,0,5,3,2,0,2,0,2,0,2,0,2,0,1,1,0,0
,,South Carolina,75,40,35,0,74,39,35,0,66,37,29,0,36,19,17,0,22,11,11,0,8,5,3,0,5,2,3,0
,,South Dakota,20,12,8,0,20,12,8,0,20,12,8,0,10,6,4,0,7,3,4,0,5,2,3,0,4,3,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,State unassigned,77,53,24,0,76,52,24,0,67,45,22,0,30,21,9,0,13,7,6,0,10,6,4,0,4,1,3,0
,,Tennessee,96,66,30,0,95,65,30,0,77,53,24,0,37,24,13,0,25,20,5,0,9,6,3,0,8,6,2,0
,,Texas,399,242,157,0,394,239,155,0,339,201,138,0,153,91,62,0,50,33,17,0,36,21,15,0,19,11,8,0
,,Utah,51,31,20,0,51,31,20,0,48,28,20,0,20,15,5,0,9,7,2,0,0,0,0,0,3,1,2,0
,,Vermont,10,3,7,0,10,3,7,0,10,3,7,0,4,2,2,0,1,1,0,0,1,0,1,0,0,0,0,0
,,Virginia,93,57,36,0,93,57,36,0,77,49,28,0,37,21,16,0,17,14,3,0,12,7,5,0,8,4,4,0
,,Washington,67,42,25,0,63,39,24,0,56,33,23,0,22,16,6,0,7,6,1,0,4,3,1,0,1,0,1,0
,,West Virginia,40,24,16,0,40,24,16,0,35,21,14,0,12,6,6,0,2,0,2,0,5,3,2,0,2,1,1,0
,,Wisconsin,99,61,38,0,96,60,36,0,89,57,32,0,40,27,13,0,44,29,15,0,13,9,4,0,3,2,1,0
,,Wyoming,6,3,3,0,6,3,3,0,3,1,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
,11-17 Years,All Donor States of Residence,16574,11217,5357,0,16200,10968,5232,0,14492,9872,4620,0,9563,6882,2681,0,7709,5382,2327,0,4568,3158,1410,0,440,285,155,0
,,Alabama,328,225,103,0,321,221,100,0,268,185,83,0,180,133,47,0,131,95,36,0,85,65,20,0,5,5,0,0
,,Alaska,58,46,12,0,57,45,12,0,49,39,10,0,27,25,2,0,31,25,6,0,16,12,4,0,0,0,0,0
,,Arizona,303,204,99,0,298,200,98,0,271,180,91,0,158,110,48,0,120,73,47,0,80,55,25,0,5,4,1,0
,,Arkansas,177,118,59,0,172,115,57,0,153,101,52,0,108,77,31,0,59,41,18,0,50,25,25,0,6,3,3,0
,,California,1498,1065,433,0,1456,1035,421,0,1348,959,389,0,946,706,240,0,692,511,181,0,427,303,124,0,22,12,10,0
,,Colorado,291,194,97,0,284,190,94,0,268,181,87,0,185,128,57,0,156,103,53,0,76,48,28,0,6,4,2,0
,,Connecticut,130,97,33,0,124,92,32,0,104,75,29,0,77,58,19,0,50,36,14,0,21,14,7,0,1,0,1,0
,,Delaware,53,35,18,0,51,34,17,0,46,30,16,0,22,15,7,0,23,12,11,0,11,7,4,0,1,1,0,0
,,District of Columbia,33,26,7,0,32,25,7,0,29,23,6,0,22,19,3,0,24,19,5,0,9,5,4,0,0,0,0,0
,,Florida,955,628,327,0,935,615,320,0,826,547,279,0,513,368,145,0,422,293,129,0,252,170,82,0,63,38,25,0
,,Georgia,498,345,153,0,489,338,151,0,439,309,130,0,310,227,83,0,197,148,49,0,133,97,36,0,12,5,7,0
,,Hawaii,35,27,8,0,34,26,8,0,32,25,7,0,9,8,1,0,13,10,3,0,2,2,0,0,0,0,0,0
,,Idaho,111,72,39,0,108,70,38,0,100,66,34,0,72,50,22,0,55,39,16,0,24,15,9,0,4,1,3,0
,,Illinois,725,509,216,0,710,503,207,0,625,439,186,0,380,288,92,0,386,285,101,0,236,172,64,0,14,8,6,0
,,Indiana,415,286,129,0,407,280,127,0,380,261,119,0,272,197,75,0,234,160,74,0,121,82,39,0,39,25,14,0
,,Iowa,206,121,85,0,199,114,85,0,188,113,75,0,106,67,39,0,113,74,39,0,57,34,23,0,3,0,3,0
,,Kansas,257,170,87,0,255,169,86,0,233,152,81,0,137,100,37,0,133,87,46,0,77,51,26,0,6,6,0,0
,,Kentucky,239,153,86,0,234,149,85,0,214,139,75,0,135,92,43,0,103,67,36,0,84,56,28,0,4,3,1,0
,,Louisiana,384,267,117,0,376,262,114,0,356,247,109,0,246,180,66,0,210,144,66,0,125,96,29,0,16,11,5,0
,,Maine,69,44,25,0,67,42,25,0,61,37,24,0,37,28,9,0,33,19,14,0,7,5,2,0,1,1,0,0
,,Maryland,268,177,91,0,260,172,88,0,234,159,75,0,152,108,44,0,157,109,48,0,94,66,28,0,10,6,4,0
,,Massachusetts,213,144,69,0,208,141,67,0,167,116,51,0,113,81,32,0,81,54,27,0,42,25,17,0,3,1,2,0
,,Michigan,621,414,207,0,605,405,200,0,516,346,170,0,322,222,100,0,264,185,79,0,167,118,49,0,21,16,5,0
,,Minnesota,272,178,94,0,268,175,93,0,244,164,80,0,156,103,53,0,184,123,61,0,87,49,38,0,7,6,1,0
,,Mississippi,223,138,85,0,217,135,82,0,184,118,66,0,134,89,45,0,92,55,37,0,53,39,14,0,13,7,6,0
,,Missouri,441,290,151,0,430,284,146,0,398,263,135,0,264,190,74,0,192,133,59,0,143,101,42,0,13,7,6,0
,,Montana,78,51,27,0,78,51,27,0,71,47,24,0,46,34,12,0,36,24,12,0,19,14,5,0,0,0,0,0
,,Nebraska,132,77,55,0,131,76,55,0,124,74,50,0,68,42,26,0,86,55,31,0,33,22,11,0,6,6,0,0
,,Nevada,140,88,52,0,139,87,52,0,131,82,49,0,91,58,33,0,61,39,22,0,38,22,16,0,5,3,2,0
,,New Hampshire,55,41,14,0,53,40,13,0,43,31,12,0,27,21,6,0,27,19,8,0,12,9,3,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,New Jersey,286,192,94,0,281,191,90,0,245,162,83,0,161,110,51,0,142,100,42,0,70,42,28,0,5,2,3,0
,,New Mexico,136,94,42,0,132,91,41,0,115,80,35,0,78,56,22,0,31,20,11,0,35,25,10,0,3,2,1,0
,,New York,600,389,211,0,580,373,207,0,504,331,173,0,350,240,110,0,252,164,88,0,130,84,46,0,22,15,7,0
,,North Carolina,456,306,150,0,449,300,149,0,393,259,134,0,262,188,74,0,248,170,78,0,128,87,41,0,7,4,3,0
,,North Dakota,46,30,16,0,45,30,15,0,40,26,14,0,24,20,4,0,30,20,10,0,11,5,6,0,1,1,0,0
,,Ohio,634,432,202,0,626,428,198,0,552,388,164,0,364,270,94,0,364,263,101,0,199,140,59,0,21,12,9,0
,,Oklahoma,285,196,89,0,278,190,88,0,253,177,76,0,160,111,49,0,77,58,19,0,64,47,17,0,2,2,0,0
,,Oregon,189,121,68,0,188,120,68,0,169,109,60,0,91,68,23,0,78,59,19,0,38,27,11,0,1,1,0,0
,,Pennsylvania,693,484,209,0,675,471,204,0,613,436,177,0,386,280,106,0,365,263,102,0,210,149,61,0,24,17,7,0
,,Puerto Rico,112,87,25,0,111,86,25,0,89,70,19,0,48,41,7,0,41,28,13,0,27,19,8,0,5,4,1,0
,,Rhode Island,23,19,4,0,21,17,4,0,19,16,3,0,16,13,3,0,13,10,3,0,4,4,0,0,0,0,0,0
,,South Carolina,275,190,85,0,272,188,84,0,247,172,75,0,178,137,41,0,133,98,35,0,86,68,18,0,4,3,1,0
,,South Dakota,51,29,22,0,51,29,22,0,45,26,19,0,27,18,9,0,36,21,15,0,23,15,8,0,2,1,1,0
,,State unassigned,277,198,79,0,268,195,73,0,213,158,55,0,154,114,40,0,79,63,16,0,54,36,18,0,3,1,2,0
,,Tennessee,404,263,141,0,394,256,138,0,348,231,117,0,247,183,64,0,210,143,67,0,124,86,38,0,11,8,3,0
,,Texas,1503,1014,489,0,1461,986,475,0,1309,892,417,0,929,664,265,0,523,376,147,0,440,311,129,0,19,15,4,0
,,Utah,195,124,71,0,189,122,67,0,167,108,59,0,94,55,39,0,78,50,28,0,38,25,13,0,2,2,0,0
,,Vermont,35,24,11,0,35,24,11,0,32,23,9,0,20,14,6,0,13,9,4,0,9,7,2,0,1,0,1,0
,,Virginia,358,261,97,0,349,253,96,0,314,227,87,0,209,156,53,0,153,111,42,0,98,72,26,0,8,5,3,0
,,Washington,277,184,93,0,270,180,90,0,251,165,86,0,149,109,40,0,121,85,36,0,65,41,24,0,2,2,0,0
,,West Virginia,118,78,40,0,117,77,40,0,103,66,37,0,62,46,16,0,61,42,19,0,31,23,8,0,4,4,0,0
,,Wisconsin,366,234,132,0,365,234,131,0,328,210,118,0,204,136,68,0,273,173,100,0,89,55,34,0,7,5,2,0
,,Wyoming,47,38,9,0,45,36,9,0,41,32,9,0,35,29,6,0,23,19,4,0,14,11,3,0,0,0,0,0
,18-34 Years,All Donor States of Residence,118246,70187,48059,0,111623,66419,45204,0,58036,40296,17740,0,35821,27260,8561,0,24124,17825,6299,0,17341,12202,5139,0,830,535,295,0
,,Alabama,2063,1215,848,0,2008,1180,828,0,1015,722,293,0,629,484,145,0,363,281,82,0,298,220,78,0,4,3,1,0
,,Alaska,317,197,120,0,306,189,117,0,189,140,49,0,111,91,20,0,88,73,15,0,66,52,14,0,0,0,0,0
,,Arizona,2351,1404,947,0,2264,1356,908,0,1142,831,311,0,669,519,150,0,410,314,96,0,374,264,110,0,10,9,1,0
,,Arkansas,1085,665,420,0,1034,633,401,0,625,431,194,0,421,314,107,0,246,175,71,0,197,128,69,0,23,16,7,0
,,California,12272,7348,4924,0,11534,6929,4605,0,5998,4282,1716,0,3939,3111,828,0,2349,1774,575,0,1858,1344,514,0,26,15,11,0
,,Colorado,1753,1053,700,0,1627,975,652,0,907,615,292,0,531,404,127,0,354,253,101,0,234,157,77,0,5,4,1,0
,,Connecticut,1108,660,448,0,1038,619,419,0,510,364,146,0,303,240,63,0,181,141,40,0,108,80,28,0,5,4,1,0
,,Delaware,415,250,165,0,393,235,158,0,236,162,74,0,152,114,38,0,116,89,27,0,83,62,21,0,4,3,1,0
,,District of Columbia,382,241,141,0,364,234,130,0,149,115,34,0,104,87,17,0,95,79,16,0,57,45,12,0,4,3,1,0
,,Florida,6005,3805,2200,0,5705,3622,2083,0,3646,2582,1064,0,2183,1650,533,0,1458,1085,373,0,1066,730,336,0,87,54,33,0
,,Georgia,3104,1789,1315,0,2919,1679,1240,0,1604,1098,506,0,1089,814,275,0,568,423,145,0,512,351,161,0,21,12,9,0
,,Hawaii,351,220,131,0,337,215,122,0,166,125,41,0,31,25,6,0,64,54,10,0,14,8,6,0,0,0,0,0
,,Idaho,484,284,200,0,463,273,190,0,248,173,75,0,153,117,36,0,93,73,20,0,65,46,19,0,1,0,1,0
,,Illinois,5857,3403,2454,0,5496,3212,2284,0,2396,1656,740,0,1384,1065,319,0,1253,920,333,0,758,546,212,0,41,32,9,0
,,Indiana,2572,1538,1034,0,2470,1473,997,0,1374,943,431,0,884,667,217,0,582,426,156,0,469,326,143,0,90,59,31,0
,,Iowa,1082,637,445,0,1038,615,423,0,507,340,167,0,295,220,75,0,247,178,69,0,151,106,45,0,7,4,3,0
,,Kansas,1108,687,421,0,1071,663,408,0,666,468,198,0,401,310,91,0,318,229,89,0,215,155,60,0,8,4,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kentucky,1551,935,616,0,1484,890,594,0,831,583,248,0,513,393,120,0,387,288,99,0,236,183,53,0,7,5,2,0
,,Louisiana,2074,1271,803,0,1962,1201,761,0,1208,859,349,0,750,592,158,0,529,404,125,0,374,264,110,0,12,11,1,0
,,Maine,478,292,186,0,440,270,170,0,267,182,85,0,157,118,39,0,99,72,27,0,66,48,18,0,3,3,0,0
,,Maryland,2700,1536,1164,0,2529,1433,1096,0,1208,838,370,0,677,521,156,0,629,466,163,0,403,289,114,0,16,12,4,0
,,Massachusetts,2258,1327,931,0,2081,1223,858,0,950,647,303,0,530,395,135,0,296,226,70,0,211,155,56,0,10,6,4,0
,,Michigan,4295,2463,1832,0,4100,2361,1739,0,1813,1248,565,0,1094,814,280,0,682,511,171,0,605,423,182,0,37,21,16,0
,,Minnesota,2485,1394,1091,0,2352,1324,1028,0,886,592,294,0,538,385,153,0,585,406,179,0,268,180,88,0,27,18,9,0
,,Mississippi,929,551,378,0,887,529,358,0,489,336,153,0,304,221,83,0,197,147,50,0,144,100,44,0,8,7,1,0
,,Missouri,2543,1549,994,0,2409,1468,941,0,1453,1017,436,0,907,676,231,0,601,442,159,0,554,387,167,0,27,17,10,0
,,Montana,345,218,127,0,323,202,121,0,190,140,50,0,125,98,27,0,87,68,19,0,43,31,12,0,3,2,1,0
,,Nebraska,648,384,264,0,615,366,249,0,342,234,108,0,215,153,62,0,178,121,57,0,105,67,38,0,8,2,6,0
,,Nevada,872,519,353,0,818,483,335,0,477,318,159,0,299,227,72,0,171,124,47,0,145,101,44,0,3,2,1,0
,,New Hampshire,406,231,175,0,374,209,165,0,189,128,61,0,107,77,30,0,71,45,26,0,46,27,19,0,2,2,0,0
,,New Jersey,3030,1738,1292,0,2851,1645,1206,0,1292,850,442,0,780,564,216,0,560,380,180,0,332,222,110,0,6,3,3,0
,,New Mexico,771,480,291,0,740,464,276,0,432,301,131,0,274,214,60,0,123,93,30,0,101,71,30,0,7,5,2,0
,,New York,6530,3746,2784,0,5925,3432,2493,0,2637,1743,894,0,1424,1078,346,0,880,631,249,0,448,304,144,0,23,14,9,0
,,North Carolina,3207,1938,1269,0,3040,1841,1199,0,1670,1167,503,0,1088,845,243,0,802,585,217,0,571,419,152,0,26,18,8,0
,,North Dakota,310,181,129,0,299,174,125,0,128,86,42,0,74,54,20,0,77,52,25,0,34,20,14,0,2,2,0,0
,,Ohio,4956,2818,2138,0,4702,2687,2015,0,2366,1586,780,0,1364,989,375,0,1183,858,325,0,699,476,223,0,49,30,19,0
,,Oklahoma,1288,818,470,0,1220,773,447,0,773,541,232,0,487,363,124,0,230,172,58,0,221,162,59,0,4,1,3,0
,,Oregon,1111,662,449,0,1069,642,427,0,538,382,156,0,325,248,77,0,218,167,51,0,119,85,34,0,0,0,0,0
,,Pennsylvania,5494,3308,2186,0,5087,3084,2003,0,3087,2109,978,0,1753,1328,425,0,1342,969,373,0,984,679,305,0,62,40,22,0
,,Puerto Rico,874,561,313,0,824,535,289,0,475,353,122,0,238,202,36,0,173,137,36,0,123,99,24,0,16,11,5,0
,,Rhode Island,373,202,171,0,344,186,158,0,118,79,39,0,80,57,23,0,45,31,14,0,25,14,11,0,2,1,1,0
,,South Carolina,1615,964,651,0,1556,934,622,0,931,659,272,0,646,512,134,0,419,321,98,0,316,238,78,0,7,4,3,0
,,South Dakota,310,173,137,0,298,167,131,0,152,99,53,0,91,67,24,0,98,65,33,0,46,30,16,0,3,1,2,0
,,State unassigned,2943,1888,1055,0,2684,1725,959,0,1015,731,284,0,655,525,130,0,363,286,77,0,232,178,54,0,9,4,5,0
,,Tennessee,2642,1551,1091,0,2532,1480,1052,0,1400,979,421,0,959,735,224,0,584,435,149,0,439,312,127,0,32,22,10,0
,,Texas,9071,5324,3747,0,8692,5104,3588,0,4569,3191,1378,0,3264,2471,793,0,1505,1140,365,0,1596,1111,485,0,35,24,11,0
,,Utah,1277,744,533,0,1210,707,503,0,541,363,178,0,316,233,83,0,206,147,59,0,134,88,46,0,1,0,1,0
,,Vermont,240,146,94,0,222,133,89,0,122,84,38,0,67,51,16,0,45,33,12,0,24,17,7,0,1,0,1,0
,,Virginia,2920,1670,1250,0,2739,1569,1170,0,1322,885,437,0,797,585,212,0,497,352,145,0,370,254,116,0,18,6,12,0
,,Washington,1891,1112,779,0,1822,1077,745,0,939,649,290,0,552,412,140,0,385,281,104,0,275,189,86,0,3,2,1,0
,,West Virginia,730,438,292,0,664,398,266,0,454,306,148,0,243,174,69,0,184,141,43,0,122,77,45,0,17,12,5,0
,,Wisconsin,2535,1505,1030,0,2439,1456,983,0,1256,876,380,0,756,574,182,0,846,612,234,0,367,254,113,0,7,4,3,0
,,Wyoming,235,154,81,0,223,145,78,0,138,108,30,0,93,77,16,0,62,50,12,0,38,28,10,0,1,1,0,0
,35-49 Years,All Donor States of Residence,128971,59505,69466,0,121511,55460,66051,0,48171,26308,21863,0,19823,12105,7718,0,10264,5366,4898,0,10568,5278,5290,0,297,128,169,0
,,Alabama,2045,924,1121,0,1969,879,1090,0,726,394,332,0,236,150,86,0,78,43,35,0,128,69,59,0,2,0,2,0
,,Alaska,363,171,192,0,356,167,189,0,134,73,61,0,48,32,16,0,24,18,6,0,37,18,19,0,0,0,0,0
,,Arizona,2292,1060,1232,0,2169,992,1177,0,822,467,355,0,320,198,122,0,125,70,55,0,202,113,89,0,3,1,2,0
,,Arkansas,1010,446,564,0,967,421,546,0,461,232,229,0,168,109,59,0,77,40,37,0,72,29,43,0,5,1,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,California,13181,6248,6933,0,12409,5825,6584,0,5052,2885,2167,0,2183,1359,824,0,893,469,424,0,1257,687,570,0,8,2,6,0
,,Colorado,2082,954,1128,0,1955,895,1060,0,732,388,344,0,326,197,129,0,176,90,86,0,128,60,68,0,6,1,5,0
,,Connecticut,1426,657,769,0,1346,617,729,0,491,281,210,0,228,157,71,0,92,50,42,0,83,55,28,0,1,1,0,0
,,Delaware,506,263,243,0,468,241,227,0,242,147,95,0,103,66,37,0,48,29,19,0,74,43,31,0,6,4,2,0
,,District of Columbia,304,144,160,0,287,133,154,0,113,62,51,0,42,23,19,0,30,13,17,0,26,10,16,0,0,0,0,0
,,Florida,6302,3113,3189,0,5929,2906,3023,0,2905,1623,1282,0,1148,700,448,0,517,256,261,0,645,308,337,0,38,16,22,0
,,Georgia,3521,1509,2012,0,3252,1357,1895,0,1410,715,695,0,539,315,224,0,148,80,68,0,293,130,163,0,6,3,3,0
,,Hawaii,465,259,206,0,448,250,198,0,195,118,77,0,22,17,5,0,30,18,12,0,12,4,8,0,0,0,0,0
,,Idaho,585,253,332,0,556,237,319,0,195,116,79,0,77,49,28,0,40,21,19,0,36,24,12,0,0,0,0,0
,,Illinois,5754,2676,3078,0,5408,2499,2909,0,1918,1037,881,0,755,447,308,0,644,321,323,0,459,221,238,0,14,7,7,0
,,Indiana,2757,1238,1519,0,2617,1158,1459,0,1125,603,522,0,503,314,189,0,283,149,134,0,243,116,127,0,24,7,17,0
,,Iowa,1337,583,754,0,1294,561,733,0,414,219,195,0,176,100,76,0,133,63,70,0,97,34,63,0,2,1,1,0
,,Kansas,1121,575,546,0,1073,544,529,0,511,293,218,0,235,151,84,0,147,82,65,0,127,69,58,0,3,1,2,0
,,Kentucky,1670,777,893,0,1597,726,871,0,665,373,292,0,268,171,97,0,139,67,72,0,146,66,80,0,1,0,1,0
,,Louisiana,1802,853,949,0,1658,778,880,0,906,495,411,0,303,178,125,0,168,94,74,0,202,97,105,0,4,1,3,0
,,Maine,620,292,328,0,575,271,304,0,209,127,82,0,86,59,27,0,50,32,18,0,35,19,16,0,2,1,1,0
,,Maryland,3035,1336,1699,0,2832,1221,1611,0,1067,599,468,0,406,227,179,0,299,168,131,0,286,149,137,0,7,4,3,0
,,Massachusetts,2909,1340,1569,0,2687,1230,1457,0,902,503,399,0,403,242,161,0,180,103,77,0,169,89,80,0,2,1,1,0
,,Michigan,4926,2215,2711,0,4683,2093,2590,0,1611,866,745,0,671,397,274,0,317,162,155,0,448,213,235,0,12,4,8,0
,,Minnesota,3085,1375,1710,0,2938,1298,1640,0,834,442,392,0,342,199,143,0,408,214,194,0,206,110,96,0,15,8,7,0
,,Mississippi,1002,478,524,0,950,451,499,0,423,230,193,0,149,96,53,0,61,32,29,0,69,36,33,0,2,0,2,0
,,Missouri,2372,1103,1269,0,2196,1010,1186,0,1069,559,510,0,410,238,172,0,219,110,109,0,296,145,151,0,5,4,1,0
,,Montana,444,198,246,0,427,192,235,0,147,76,71,0,67,44,23,0,32,16,16,0,24,8,16,0,0,0,0,0
,,Nebraska,765,324,441,0,733,309,424,0,279,129,150,0,92,49,43,0,100,48,52,0,50,20,30,0,0,0,0,0
,,Nevada,933,463,470,0,881,433,448,0,431,228,203,0,191,105,86,0,60,38,22,0,103,46,57,0,0,0,0,0
,,New Hampshire,647,306,341,0,604,280,324,0,209,123,86,0,101,62,39,0,46,29,17,0,51,27,24,0,1,1,0,0
,,New Jersey,3897,1782,2115,0,3721,1691,2030,0,1220,675,545,0,541,319,222,0,276,147,129,0,222,107,115,0,3,1,2,0
,,New Mexico,743,328,415,0,708,308,400,0,278,135,143,0,113,65,48,0,29,11,18,0,34,16,18,0,2,2,0,0
,,New York,7477,3407,4070,0,6803,3069,3734,0,2564,1342,1222,0,977,583,394,0,445,232,213,0,305,144,161,0,17,8,9,0
,,North Carolina,3311,1525,1786,0,3137,1423,1714,0,1296,702,594,0,631,388,243,0,333,176,157,0,346,176,170,0,11,3,8,0
,,North Dakota,366,158,208,0,356,154,202,0,90,48,42,0,45,30,15,0,53,32,21,0,18,8,10,0,3,2,1,0
,,Ohio,5559,2526,3033,0,5278,2365,2913,0,2006,1084,922,0,818,488,330,0,601,307,294,0,468,225,243,0,11,6,5,0
,,Oklahoma,1391,643,748,0,1309,593,716,0,627,324,303,0,267,155,112,0,61,36,25,0,114,65,49,0,1,1,0,0
,,Oregon,1325,576,749,0,1285,549,736,0,442,228,214,0,210,115,95,0,85,36,49,0,76,31,45,0,1,0,1,0
,,Pennsylvania,6462,3097,3365,0,6009,2863,3146,0,2816,1558,1258,0,1120,687,433,0,645,326,319,0,592,311,281,0,25,14,11,0
,,Puerto Rico,719,333,386,0,667,300,367,0,302,167,135,0,50,30,20,0,23,14,9,0,50,29,21,0,1,1,0,0
,,Rhode Island,456,189,267,0,431,175,256,0,124,63,61,0,49,25,24,0,32,17,15,0,16,4,12,0,0,0,0,0
,,South Carolina,1792,859,933,0,1695,798,897,0,865,501,364,0,367,251,116,0,147,86,61,0,197,114,83,0,1,0,1,0
,,South Dakota,383,187,196,0,366,175,191,0,127,74,53,0,49,27,22,0,63,32,31,0,28,14,14,0,1,1,0,0
,,State unassigned,2709,1298,1411,0,2569,1219,1350,0,602,356,246,0,297,202,95,0,141,83,58,0,107,59,48,0,2,1,1,0
,,Tennessee,2623,1206,1417,0,2454,1113,1341,0,1206,640,566,0,544,330,214,0,246,123,123,0,255,124,131,0,14,4,10,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Texas,9075,4132,4943,0,8546,3844,4702,0,3537,1910,1627,0,1595,1018,577,0,418,213,205,0,925,453,472,0,10,1,9,0
,,Utah,1170,533,637,0,1124,510,614,0,326,173,153,0,167,96,71,0,69,37,32,0,64,27,37,0,0,0,0,0
,,Vermont,278,100,178,0,259,92,167,0,83,30,53,0,28,11,17,0,22,9,13,0,18,7,11,0,0,0,0,0
,,Virginia,3577,1644,1933,0,3377,1522,1855,0,1166,653,513,0,452,284,168,0,188,103,85,0,257,138,119,0,13,8,5,0
,,Washington,2237,976,1261,0,2179,945,1234,0,744,407,337,0,302,174,128,0,166,83,83,0,157,71,86,0,2,0,2,0
,,West Virginia,786,346,440,0,726,314,412,0,373,194,179,0,119,80,39,0,86,40,46,0,64,33,31,0,7,4,3,0
,,Wisconsin,3172,1431,1741,0,3055,1373,1682,0,1108,603,505,0,456,277,179,0,555,290,265,0,240,103,137,0,3,2,1,0
,,Wyoming,202,96,106,0,193,91,102,0,71,38,33,0,28,19,9,0,16,8,8,0,11,4,7,0,0,0,0,0
,50-64 Years,All Donor States of Residence,89826,41449,48377,0,84059,37975,46084,0,41412,21434,19978,0,5773,3032,2741,0,2471,1112,1359,0,5952,2694,3258,0,60,30,30,0
,,Alabama,1400,663,737,0,1291,595,696,0,727,373,354,0,35,22,13,0,11,4,7,0,44,18,26,0,0,0,0,0
,,Alaska,197,100,97,0,193,97,96,0,75,38,37,0,10,5,5,0,2,2,0,0,10,4,6,0,0,0,0,0
,,Arizona,1505,657,848,0,1437,624,813,0,598,306,292,0,64,39,25,0,13,3,10,0,83,42,41,0,1,1,0,0
,,Arkansas,601,269,332,0,565,248,317,0,329,163,166,0,34,20,14,0,12,9,3,0,40,11,29,0,1,1,0,0
,,California,9249,4446,4803,0,8732,4130,4602,0,4363,2351,2012,0,744,411,333,0,157,68,89,0,783,382,401,0,3,2,1,0
,,Colorado,1269,567,702,0,1211,538,673,0,460,221,239,0,75,37,38,0,44,16,28,0,48,21,27,0,3,1,2,0
,,Connecticut,1105,511,594,0,1051,481,570,0,370,193,177,0,73,32,41,0,19,7,12,0,41,26,15,0,0,0,0,0
,,Delaware,356,160,196,0,332,147,185,0,199,99,100,0,36,17,19,0,13,8,5,0,23,9,14,0,0,0,0,0
,,District of Columbia,236,108,128,0,208,90,118,0,121,57,64,0,5,2,3,0,3,1,2,0,15,3,12,0,0,0,0,0
,,Florida,5107,2358,2749,0,4698,2099,2599,0,2703,1395,1308,0,280,145,135,0,78,34,44,0,354,139,215,0,6,1,5,0
,,Georgia,2424,1082,1342,0,2154,914,1240,0,1308,668,640,0,140,78,62,0,13,7,6,0,185,84,101,0,0,0,0,0
,,Hawaii,375,190,185,0,365,186,179,0,166,94,72,0,4,3,1,0,1,1,0,0,4,1,3,0,0,0,0,0
,,Idaho,359,179,180,0,351,173,178,0,138,72,66,0,21,10,11,0,4,1,3,0,18,11,7,0,0,0,0,0
,,Illinois,4121,1984,2137,0,3809,1791,2018,0,1819,971,848,0,234,121,113,0,275,128,147,0,314,160,154,0,10,10,0,0
,,Indiana,1572,676,896,0,1474,627,847,0,793,381,412,0,124,66,58,0,47,19,28,0,138,56,82,0,0,0,0,0
,,Iowa,902,416,486,0,869,399,470,0,357,193,164,0,65,37,28,0,39,23,16,0,38,13,25,0,0,0,0,0
,,Kansas,769,376,393,0,724,347,377,0,409,227,182,0,56,39,17,0,34,18,16,0,62,30,32,0,1,0,1,0
,,Kentucky,965,449,516,0,923,417,506,0,517,279,238,0,70,34,36,0,34,13,21,0,66,26,40,0,0,0,0,0
,,Louisiana,1218,593,625,0,1074,507,567,0,780,412,368,0,53,28,25,0,17,7,10,0,93,41,52,0,1,0,1,0
,,Maine,461,219,242,0,437,202,235,0,156,89,67,0,30,17,13,0,17,8,9,0,23,11,12,0,0,0,0,0
,,Maryland,2186,984,1202,0,2023,888,1135,0,1010,522,488,0,110,55,55,0,40,13,27,0,184,85,99,0,3,0,3,0
,,Massachusetts,2033,913,1120,0,1923,847,1076,0,686,351,335,0,140,69,71,0,45,24,21,0,93,47,46,0,1,1,0,0
